DateTime,Open,High,Low,Close,Volume
2015-01-04,1.20976,1.21073,1.18677,1.19469,1152
2015-01-11,1.19469,1.19762,1.17543,1.18697,2016
2015-01-18,1.18697,1.18708,1.146,1.15612,2016
2015-01-25,1.15614,1.16799,1.10979,1.11417,2016
2015-02-01,1.11417,1.14225,1.11381,1.1307,2016
2015-02-08,1.1307,1.15338,1.12922,1.13135,2016
2015-02-15,1.13135,1.14427,1.12703,1.13975,2016
2015-02-22,1.13975,1.145,1.1279,1.13802,2016
2015-03-01,1.13802,1.13932,1.11601,1.11607,2016
2015-03-08,1.11609,1.12405,1.08228,1.08446,2016
2015-03-15,1.08445,1.09065,1.04624,1.04837,2016
2015-03-22,1.04837,1.10351,1.04834,1.08251,2016
2015-03-29,1.08253,1.10522,1.07673,1.08828,2016
2015-04-05,1.08828,1.1027,1.0713,1.09946,2016
2015-04-12,1.09946,1.10356,1.05679,1.06064,2016
2015-04-19,1.06064,1.08487,1.05203,1.08082,2016
2015-04-26,1.08082,1.09,1.06599,1.08655,2016
2015-05-03,1.08657,1.129,1.08192,1.11885,2016
2015-05-10,1.11885,1.13916,1.10663,1.11958,2016
2015-05-17,1.11958,1.14669,1.1131,1.1444,2016
2015-05-24,1.14441,1.14468,1.09644,1.09911,2016
2015-05-31,1.09911,1.10067,1.08192,1.09571,2016
2015-06-07,1.09571,1.13798,1.08873,1.11023,2016
2015-06-14,1.11023,1.13865,1.10842,1.12242,2016
2015-06-21,1.1224,1.14364,1.11891,1.13613,2016
2015-06-28,1.13613,1.14102,1.09545,1.09743,2016
2015-07-05,1.09742,1.12783,1.0969,1.09945,2016
2015-07-12,1.09946,1.12157,1.09163,1.11292,2016
2015-07-19,1.11292,1.11968,1.08261,1.083,2016
2015-07-26,1.08299,1.10179,1.08086,1.09721,2016
2015-08-02,1.09723,1.11292,1.08933,1.09674,2016
2015-08-09,1.09675,1.09957,1.08481,1.09583,2016
2015-08-16,1.09583,1.12133,1.09254,1.1094,2016
2015-08-23,1.1094,1.1395,1.10175,1.13761,2016
2015-08-30,1.13761,1.17139,1.11559,1.12111,2016
2015-09-06,1.12111,1.1332,1.10873,1.1154,2016
2015-09-13,1.11539,1.13593,1.11213,1.1342,2016
2015-09-20,1.1342,1.14599,1.1214,1.12906,2016
2015-09-27,1.12906,1.13299,1.11051,1.11993,2016
2015-10-04,1.11993,1.13183,1.11351,1.12192,2016
2015-10-11,1.1219,1.13871,1.1172,1.13675,2016
2015-10-18,1.13675,1.1495,1.13344,1.13578,2016
2015-10-25,1.13578,1.13871,1.09966,1.10186,2016
2015-11-01,1.10186,1.10956,1.08969,1.10228,2016
2015-11-08,1.10227,1.10525,1.07056,1.07292,2016
2015-11-15,1.07291,1.083,1.06744,1.07001,2016
2015-11-22,1.07002,1.07629,1.06168,1.06372,2016
2015-11-29,1.06375,1.06892,1.0566,1.0583,2016
2015-12-06,1.05831,1.09812,1.0522,1.08809,2016
2015-12-13,1.0881,1.10426,1.0796,1.09804,2016
2015-12-20,1.09804,1.10596,1.08026,1.08695,2016
2015-12-27,1.08695,1.09842,1.08479,1.09637,2016
2016-01-03,1.09642,1.09923,1.08451,1.08516,2016
2016-01-10,1.08515,1.09697,1.07107,1.09371,2016
2016-01-17,1.09371,1.09846,1.08049,1.09183,2016
2016-01-24,1.09183,1.0976,1.0778,1.07971,2016
2016-01-31,1.0797,1.09676,1.07899,1.08253,2016
2016-02-07,1.08253,1.1247,1.08242,1.11434,2016
2016-02-14,1.11434,1.13762,1.10865,1.12232,2016
2016-02-21,1.12232,1.12389,1.10669,1.11218,2016
2016-02-28,1.11221,1.11238,1.09116,1.09244,2016
2016-03-06,1.09243,1.10434,1.08255,1.09913,2016
2016-03-13,1.09913,1.12179,1.08222,1.11651,2016
2016-03-20,1.11651,1.13425,1.10579,1.12744,2016
2016-03-27,1.12744,1.12848,1.11442,1.11571,2016
2016-04-03,1.11572,1.14379,1.1153,1.13946,2016
2016-04-10,1.13952,1.14539,1.13266,1.14047,2016
2016-04-17,1.14047,1.14649,1.12339,1.12975,2016
2016-04-24,1.12978,1.13981,1.1215,1.12312,2016
2016-05-01,1.12312,1.14659,1.12235,1.14608,2016
2016-05-08,1.14608,1.16162,1.13838,1.13853,2016
2016-05-15,1.13857,1.14466,1.1283,1.13172,2016
2016-05-22,1.13173,1.13487,1.11801,1.12204,2016
2016-05-29,1.12204,1.12428,1.11068,1.11082,2016
2016-06-05,1.1108,1.13736,1.10978,1.13512,2016
2016-06-12,1.13511,1.14155,1.12339,1.12381,2016
2016-06-19,1.12379,1.13579,1.1131,1.13469,2016
2016-06-26,1.13468,1.14278,1.09116,1.10392,2016
2016-07-03,1.10395,1.11693,1.09709,1.11273,2016
2016-07-10,1.11273,1.11863,1.10018,1.10439,2016
2016-07-17,1.10439,1.11648,1.10159,1.10558,2016
2016-07-24,1.10561,1.10842,1.09555,1.0969,2016
2016-07-31,1.0969,1.11974,1.09519,1.11671,2016
2016-08-07,1.11672,1.12336,1.10458,1.10869,2016
2016-08-14,1.10868,1.12213,1.10705,1.11641,2016
2016-08-21,1.11642,1.13663,1.11538,1.12977,2016
2016-08-28,1.12978,1.13553,1.11752,1.11974,2016
2016-09-04,1.11975,1.12521,1.11232,1.1158,2016
2016-09-11,1.1158,1.13269,1.11395,1.12406,2016
2016-09-18,1.12406,1.12843,1.11495,1.11577,2016
2016-09-25,1.11576,1.12573,1.1123,1.12373,2016
2016-10-02,1.12373,1.12792,1.11533,1.12328,2016
2016-10-09,1.12328,1.12416,1.11043,1.11945,2016
2016-10-16,1.11945,1.12003,1.09653,1.09656,2016
2016-10-23,1.09656,1.10392,1.08592,1.088,2016
2016-10-30,1.088,1.09917,1.08511,1.0982,2016
2016-11-06,1.09821,1.11412,1.09359,1.10945,2016
2016-11-13,1.10946,1.12995,1.08191,1.08226,2016
2016-11-20,1.08226,1.08258,1.05692,1.0583,2016
2016-11-27,1.0583,1.06579,1.0518,1.06091,2016
2016-12-04,1.06089,1.06898,1.05055,1.05675,2016
2016-12-11,1.05675,1.08734,1.0531,1.0546,2016
2016-12-18,1.0546,1.067,1.03665,1.04466,2016
2016-12-25,1.04466,1.04993,1.03523,1.04523,2016
2017-01-01,1.04521,1.06526,1.03721,1.0523,2016
2017-01-08,1.0523,1.06221,1.03403,1.05294,2016
2017-01-15,1.05294,1.06847,1.04538,1.06272,2016
2017-01-22,1.06274,1.07191,1.05793,1.07126,2016
2017-01-29,1.07124,1.07749,1.06576,1.07169,2016
2017-02-05,1.07169,1.08288,1.06203,1.07824,2016
2017-02-12,1.07824,1.07887,1.06077,1.06187,2016
2017-02-19,1.06186,1.06794,1.05214,1.06251,2016
2017-02-26,1.0625,1.06299,1.04938,1.0552,2016
2017-03-05,1.0552,1.06306,1.04948,1.06207,2016
2017-03-12,1.06207,1.0699,1.05249,1.06894,2016
2017-03-19,1.06894,1.07823,1.06003,1.0742,2016
2017-03-26,1.07421,1.08492,1.0719,1.08451,2016
2017-04-02,1.08453,1.09058,1.06508,1.06692,2016
2017-04-09,1.06692,1.06889,1.05734,1.05805,2016
2017-04-16,1.05806,1.06775,1.05698,1.06097,2016
2017-04-23,1.06096,1.09164,1.06085,1.08733,2016
2017-04-30,1.08733,1.09507,1.08207,1.09057,2016
2017-05-07,1.09057,1.10216,1.08749,1.09647,2016
2017-05-14,1.09647,1.09968,1.0839,1.09277,2016
2017-05-21,1.09278,1.12117,1.09225,1.12032,2016
2017-05-28,1.12032,1.12682,1.11605,1.1176,2016
2017-06-04,1.11758,1.1285,1.11094,1.12772,2016
2017-06-11,1.12775,1.12842,1.11663,1.12016,2016
2017-06-18,1.12015,1.12958,1.11321,1.12039,2016
2017-06-25,1.12037,1.12128,1.11188,1.11997,2016
2017-07-02,1.11997,1.14455,1.11717,1.14232,2016
2017-07-09,1.14234,1.14398,1.13123,1.14034,2016
2017-07-16,1.14032,1.14893,1.13705,1.1474,2016
2017-07-23,1.14739,1.16828,1.14348,1.16814,2016
2017-07-30,1.16811,1.17767,1.16125,1.17468,2016
2017-08-06,1.17469,1.191,1.17231,1.17769,2016
2017-08-13,1.17769,1.18472,1.16891,1.18252,2016
2017-08-20,1.18251,1.18382,1.16622,1.17562,2016
2017-08-27,1.17561,1.19595,1.17311,1.19511,2016
2017-09-03,1.19511,1.20701,1.18231,1.18818,2016
2017-09-10,1.18818,1.20923,1.18682,1.20169,2016
